rnd-6_family-19989	LINE	CR1	NA	16
rnd-6_family-402	Unknown	NA	NA	16
rnd-6_family-189	Unknown	NA	NA	16
rnd-6_family-10008	LINE	CR1	NA	16
rnd-6_family-5661	Unknown	NA	NA	16
rnd-6_family-3118	LTR	Gypsy	NA	16
rnd-6_family-2557	LTR	ERV1	NA	16
rnd-6_family-23490	LTR	ERVL	NA	16
rnd-6_family-14467	LTR	ERVK	NA	16
rnd-6_family-2518	Unknown	NA	NA	16
rnd-6_family-49775	Unknown	NA	NA	16
rnd-6_family-5138	LINE	CR1	NA	16
rnd-6_family-201	Unknown	NA	NA	15
rnd-6_family-9353	LTR	ERVK	NA	15
rnd-6_family-28860	LTR	ERVL	NA	15
rnd-6_family-22842	SINE	5S	NA	15
rnd-6_family-755	Unknown	NA	NA	15
rnd-6_family-8104	DNA	Crypton	NA	15
rnd-6_family-1941	Unknown	NA	NA	15
rnd-6_family-5527	DNA	Merlin	NA	15
rnd-6_family-4581	Unknown	NA	NA	15
rnd-6_family-10409	LTR	ERVL	NA	15
rnd-6_family-21796	Unknown	NA	NA	15
rnd-6_family-13873	Unknown	NA	NA	15
rnd-6_family-31	Unknown	NA	NA	15
rnd-6_family-2367	LTR	ERVL	NA	15
